Model,TBS2072
Firmware Version,v1.26.0

Point Format,Y
Horizontal Units,S
Horizontal Scale,1e-06
Sample Interval,8e-09
Filter Frequency,1e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.01
Label,
TIME,CH1
-6.960e-06,1.49012e-11
-6.952e-06,0.0005
-6.944e-06,0.0005
-6.936e-06,1.49012e-11
-6.928e-06,0.0005
-6.920e-06,0.0005
-6.912e-06,0.001
-6.904e-06,0.001
-6.896e-06,1.49012e-11
-6.888e-06,0.0005
-6.880e-06,1.49012e-11
-6.872e-06,0.0005
-6.864e-06,0.001
-6.856e-06,0.0005
-6.848e-06,0.0015
-6.840e-06,0.0005
-6.832e-06,0.0005
-6.824e-06,0.0005
-6.816e-06,0.0005
-6.808e-06,0.001
-6.800e-06,1.49012e-11
-6.792e-06,1.49012e-11
-6.784e-06,0.001
-6.776e-06,1.49012e-11
-6.768e-06,0.0005
-6.760e-06,0.0005
-6.752e-06,0.0005
-6.744e-06,0.0005
-6.736e-06,0.0005
-6.728e-06,0.0005
-6.720e-06,1.49012e-11
-6.712e-06,0.0005
-6.704e-06,0.0005
-6.696e-06,0.0005
-6.688e-06,0.001
-6.680e-06,0.0005
-6.672e-06,0.0005
-6.664e-06,0.0005
-6.656e-06,0.0005
-6.648e-06,0.0005
-6.640e-06,0.0005
-6.632e-06,0.0005
-6.624e-06,1.49012e-11
-6.616e-06,0.0005
-6.608e-06,0.0005
-6.600e-06,1.49012e-11
-6.592e-06,1.49012e-11
-6.584e-06,1.49012e-11
-6.576e-06,0.0005
-6.568e-06,0.0005
-6.560e-06,0.0005
-6.552e-06,0.001
-6.544e-06,1.49012e-11
-6.536e-06,1.49012e-11
-6.528e-06,0.001
-6.520e-06,0.0005
-6.512e-06,1.49012e-11
-6.504e-06,1.49012e-11
-6.496e-06,1.49012e-11
-6.488e-06,0.0005
-6.480e-06,1.49012e-11
-6.472e-06,0.0015
-6.464e-06,0.0005
-6.456e-06,1.49012e-11
-6.448e-06,0.0005
-6.440e-06,1.49012e-11
-6.432e-06,-0.0005
-6.424e-06,1.49012e-11
-6.416e-06,0.0005
-6.408e-06,0.0005
-6.400e-06,1.49012e-11
-6.392e-06,1.49012e-11
-6.384e-06,1.49012e-11
-6.376e-06,1.49012e-11
-6.368e-06,0.0005
-6.360e-06,1.49012e-11
-6.352e-06,0.0005
-6.344e-06,0.0015
-6.336e-06,0.0005
-6.328e-06,0.0005
-6.320e-06,1.49012e-11
-6.312e-06,0.0005
-6.304e-06,0.0015
-6.296e-06,0.0005
-6.288e-06,0.0005
-6.280e-06,1.49012e-11
-6.272e-06,1.49012e-11
-6.264e-06,1.49012e-11
-6.256e-06,-0.0005
-6.248e-06,-0.0005
-6.240e-06,0.001
-6.232e-06,0.0005
-6.224e-06,0.0005
-6.216e-06,1.49012e-11
-6.208e-06,0.0005
-6.200e-06,0.001
-6.192e-06,0.001
-6.184e-06,0.0005
-6.176e-06,0.0005
-6.168e-06,1.49012e-11
-6.160e-06,0.0005
-6.152e-06,0.0005
-6.144e-06,0.0005
-6.136e-06,0.0005
-6.128e-06,-0.0005
-6.120e-06,0.001
-6.112e-06,0.0005
-6.104e-06,0.0015
-6.096e-06,0.0005
-6.088e-06,0.0005
-6.080e-06,0.0005
-6.072e-06,1.49012e-11
-6.064e-06,0.0005
-6.056e-06,1.49012e-11
-6.048e-06,0.001
-6.040e-06,0.0005
-6.032e-06,0.0005
-6.024e-06,0.0005
-6.016e-06,0.0005
-6.008e-06,1.49012e-11
-6.000e-06,0.0005
-5.992e-06,1.49012e-11
-5.984e-06,0.001
-5.976e-06,1.49012e-11
-5.968e-06,1.49012e-11
-5.960e-06,0.0005
-5.952e-06,0.001
-5.944e-06,1.49012e-11
-5.936e-06,1.49012e-11
-5.928e-06,0.0005
-5.920e-06,0.0005
-5.912e-06,-0.0005
-5.904e-06,0.0005
-5.896e-06,0.0005
-5.888e-06,1.49012e-11
-5.880e-06,1.49012e-11
-5.872e-06,1.49012e-11
-5.864e-06,1.49012e-11
-5.856e-06,1.49012e-11
-5.848e-06,0.0005
-5.840e-06,-0.0005
-5.832e-06,-0.0005
-5.824e-06,0.0005
-5.816e-06,-0.0005
-5.808e-06,-0.001
-5.800e-06,0.0005
-5.792e-06,-0.0005
-5.784e-06,-0.0005
-5.776e-06,-0.0005
-5.768e-06,0.0005
-5.760e-06,1.49012e-11
-5.752e-06,1.49012e-11
-5.744e-06,0.0005
-5.736e-06,1.49012e-11
-5.728e-06,0.0005
-5.720e-06,0.001
-5.712e-06,1.49012e-11
-5.704e-06,0.001
-5.696e-06,1.49012e-11
-5.688e-06,0.0005
-5.680e-06,0.0005
-5.672e-06,-0.0005
-5.664e-06,0.0005
-5.656e-06,-0.0005
-5.648e-06,0.0005
-5.640e-06,0.0005
-5.632e-06,0.0005
-5.624e-06,0.0005
-5.616e-06,1.49012e-11
-5.608e-06,0.0005
-5.600e-06,0.0005
