Model,TBS2072
Firmware Version,v1.26.0

Point Format,Y
Horizontal Units,S
Horizontal Scale,4e-07
Sample Interval,4e-09
Filter Frequency,1e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Label,
TIME,CH2
-2.880e-06,0
-2.876e-06,0.025
-2.872e-06,0
-2.868e-06,0.025
-2.864e-06,0
-2.860e-06,0
-2.856e-06,0.025
-2.852e-06,0
-2.848e-06,0.025
-2.844e-06,0.025
-2.840e-06,0
-2.836e-06,0
-2.832e-06,0.025
-2.828e-06,0
-2.824e-06,0
-2.820e-06,0.025
-2.816e-06,0
-2.812e-06,0.025
-2.808e-06,0.025
-2.804e-06,0.025
-2.800e-06,0.025
-2.796e-06,0.025
-2.792e-06,0.025
-2.788e-06,0.025
-2.784e-06,0.025
-2.780e-06,0.025
-2.776e-06,0.025
-2.772e-06,0.025
-2.768e-06,0
-2.764e-06,0.025
-2.760e-06,0.025
-2.756e-06,0.025
-2.752e-06,0.025
-2.748e-06,0.025
-2.744e-06,0.025
-2.740e-06,0.025
-2.736e-06,0.025
-2.732e-06,0.025
-2.728e-06,0.025
-2.724e-06,0
-2.720e-06,0.025
-2.716e-06,0.025
-2.712e-06,0.025
-2.708e-06,0.025
-2.704e-06,0.025
-2.700e-06,0
-2.696e-06,0.025
-2.692e-06,0.025
-2.688e-06,0
-2.684e-06,0.025
-2.680e-06,0
-2.676e-06,0.025
-2.672e-06,0.025
-2.668e-06,0.025
-2.664e-06,0.05
-2.660e-06,0
-2.656e-06,0.025
-2.652e-06,0
-2.648e-06,0.025
-2.644e-06,0.025
-2.640e-06,0.025
-2.636e-06,0.025
-2.632e-06,0
-2.628e-06,0.025
-2.624e-06,0
-2.620e-06,0.025
-2.616e-06,0
-2.612e-06,0.025
-2.608e-06,0
-2.604e-06,0.025
-2.600e-06,0
-2.596e-06,0.025
-2.592e-06,0.025
-2.588e-06,0
-2.584e-06,0
-2.580e-06,0
-2.576e-06,0.025
-2.572e-06,0
-2.568e-06,0.025
-2.564e-06,0
-2.560e-06,0.025
-2.556e-06,0.025
-2.552e-06,0
-2.548e-06,0
-2.544e-06,0.025
-2.540e-06,0
-2.536e-06,0
-2.532e-06,0
-2.528e-06,0.025
-2.524e-06,0.025
-2.520e-06,0
-2.516e-06,0.025
-2.512e-06,0.025
-2.508e-06,0
-2.504e-06,0.025
-2.500e-06,0
-2.496e-06,0
-2.492e-06,0.025
-2.488e-06,0
-2.484e-06,0
-2.480e-06,0
-2.476e-06,0.025
-2.472e-06,0
-2.468e-06,0
-2.464e-06,0.025
-2.460e-06,0.025
-2.456e-06,0
-2.452e-06,0
-2.448e-06,0.025
-2.444e-06,0.025
-2.440e-06,0
-2.436e-06,0
-2.432e-06,0
-2.428e-06,0
-2.424e-06,0.025
-2.420e-06,0
-2.416e-06,0
-2.412e-06,0.025
-2.408e-06,0
-2.404e-06,0.025
-2.400e-06,0
-2.396e-06,0
-2.392e-06,0
-2.388e-06,0.025
-2.384e-06,0
-2.380e-06,0
-2.376e-06,0.025
-2.372e-06,0
-2.368e-06,0.025
-2.364e-06,0.025
-2.360e-06,0
-2.356e-06,0.025
-2.352e-06,0
-2.348e-06,0.025
-2.344e-06,0
-2.340e-06,0
-2.336e-06,0.025
-2.332e-06,0
-2.328e-06,0.025
-2.324e-06,0.025
-2.320e-06,0
-2.316e-06,0.025
-2.312e-06,0
-2.308e-06,0
-2.304e-06,0
-2.300e-06,0.025
-2.296e-06,0
-2.292e-06,0.025
-2.288e-06,0
-2.284e-06,0
-2.280e-06,0
-2.276e-06,0
-2.272e-06,0.025
-2.268e-06,0.025
-2.264e-06,0
-2.260e-06,0
-2.256e-06,0.025
-2.252e-06,0
-2.248e-06,0.025
-2.244e-06,0.025
-2.240e-06,0.025
-2.236e-06,0.025
-2.232e-06,0.025
-2.228e-06,0
-2.224e-06,0.025
-2.220e-06,0
-2.216e-06,0
-2.212e-06,0
-2.208e-06,0
-2.204e-06,0.025
-2.200e-06,0.025
-2.196e-06,0
-2.192e-06,0.025
-2.188e-06,0.025
-2.184e-06,-0.025
-2.180e-06,0
-2.176e-06,0
-2.172e-06,0.025
-2.168e-06,0.025
-2.164e-06,0.025
-2.160e-06,0.025
-2.156e-06,0
-2.152e-06,0.025
-2.148e-06,0.025
-2.144e-06,0.025
-2.140e-06,0
-2.136e-06,0
-2.132e-06,0.025
-2.128e-06,0.025
-2.124e-06,0.025
-2.120e-06,0
-2.116e-06,0.025
-2.112e-06,0
-2.108e-06,0.025
-2.104e-06,0
-2.100e-06,0.025
-2.096e-06,0.025
-2.092e-06,0
-2.088e-06,0
-2.084e-06,0
-2.080e-06,0.025
-2.076e-06,0
-2.072e-06,0
-2.068e-06,0.025
-2.064e-06,0.025
-2.060e-06,0.025
-2.056e-06,0.025
-2.052e-06,0.025
-2.048e-06,0.025
-2.044e-06,0.025
-2.040e-06,0
-2.036e-06,0
-2.032e-06,0.025
-2.028e-06,0.025
